GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core Maven Webapp,com.jschool.services.api.exception,ServiceStatusCode,9,69,0,0,0,2,2,2,2,2
core Maven Webapp,com.jschool.services.api.exception,ServiceException,11,7,0,0,4,3,2,1,2,1
core Maven Webapp,com.jschool.dao.impl,CityDaoImpl,63,0,2,0,20,0,5,0,4,0
core Maven Webapp,com.jschool.dao.impl,DriverStatusLogDaoImpl,48,0,2,0,15,0,4,0,3,0
core Maven Webapp,com.jschool.dao.impl,GenericDaoImpl,59,0,0,0,22,0,5,0,5,0
core Maven Webapp,com.jschool.dao.impl,TruckDaoImpl,97,0,2,0,29,0,6,0,5,0
core Maven Webapp,com.jschool.dao.impl,OrdersDaoImpl,98,0,2,0,30,0,6,0,5,0
core Maven Webapp,com.jschool.dao.impl,CargoDaoImpl,88,0,2,0,27,0,6,0,5,0
core Maven Webapp,com.jschool.dao.impl,DriverStatisticDaoImpl,52,0,0,0,15,0,3,0,3,0
core Maven Webapp,com.jschool.dao.impl,DriverDaoImpl,112,0,2,0,34,0,7,0,6,0
core Maven Webapp,com.jschool.dao.impl,UserDaoImpl,88,0,2,0,27,0,6,0,5,0
core Maven Webapp,com.jschool.dao.impl,CargoStatusLogDaoImpl,4,0,0,0,2,0,1,0,1,0
core Maven Webapp,com.jschool.dao.impl,RoutePointDaoImpl,4,0,0,0,2,0,1,0,1,0
core Maven Webapp,com.jschool.services.impl,UserServiceImpl,40,0,2,0,12,0,4,0,3,0
core Maven Webapp,com.jschool.services.impl,DriverServiceImpl,72,284,0,28,18,74,0,22,0,8
core Maven Webapp,com.jschool.services.impl,DutyServiceImpl,143,0,6,0,42,0,9,0,6,0
core Maven Webapp,com.jschool.services.impl,OrderAndCargoServiceImpl,550,0,48,0,145,0,36,0,12,0
core Maven Webapp,com.jschool.services.impl,TruckServiceImpl,72,187,0,20,18,51,0,18,0,8
core Maven Webapp,com.jschool.services.impl,OrderManagementServiceImpl,161,0,14,0,46,0,10,0,3,0
core Maven Webapp,com.jschool,CustomTransaction,23,0,2,0,10,0,5,0,4,0
core Maven Webapp,com.jschool,TransactionManager,12,0,0,0,4,0,2,0,2,0
core Maven Webapp,com.jschool.entities,City,24,0,0,0,10,0,7,0,7,0
core Maven Webapp,com.jschool.entities,RoutePoint,45,0,0,0,19,0,13,0,13,0
core Maven Webapp,com.jschool.entities,Cargo,52,0,0,0,22,0,15,0,15,0
core Maven Webapp,com.jschool.entities,Truck,7,38,0,0,3,16,2,11,2,11
core Maven Webapp,com.jschool.entities,Driver,17,42,0,0,7,18,5,12,5,12
core Maven Webapp,com.jschool.entities,User,17,21,0,0,7,9,5,6,5,6
core Maven Webapp,com.jschool.entities,DriverStatusLog,16,15,0,0,6,7,5,4,5,4
core Maven Webapp,com.jschool.entities,Order,38,7,0,0,16,3,11,2,11,2
core Maven Webapp,com.jschool.entities,CargoStatusLog,31,0,0,0,13,0,9,0,9,0
core Maven Webapp,com.jschool.entities,DriverStatistic,17,14,0,0,7,6,5,4,5,4
core Maven Webapp,com.jschool.entities,DriverStatus,9,39,0,0,0,4,2,2,2,2
core Maven Webapp,com.jschool.entities,CargoStatus,48,0,0,0,4,0,4,0,4,0
core Maven Webapp,com.jschool.dao.api.exception,DaoException,16,0,0,0,8,0,4,0,4,0
